CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,word_count,negative_score,positive_score,polarity_point,Avg_sent_lenght,complex_word_count,percentage_of_complex_words,uncertainty_score,constraining_score,fog_index,positive_word_proportion,negative_word_proportion,uncertainity_word_proportion,constraining_word_proportion,constraining_words_whole_report
5588,AMERICAN PAD & PAPER CO,199805,1998-05-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-004241.txt,3430,24,30,-0.11111110905349798,20.29585798816568,1345,0.39212827988338195,50,19,8.275194507219625,0.006997084548104956,0.008746355685131196,0.014577259475218658,0.0055393586005830905,2.877598471419692e-06
5588,AMERICAN PAD & PAPER CO,199808,1998-08-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-006988.txt,9007,75,176,-0.4023904366438628,17.66078431372549,3571,0.3964694126790274,87,78,7.222901490561807,0.008326856889086267,0.01954035749972244,0.00965915399134007,0.008659931164649717,1.1813298987933472e-05
5588,AMERICAN PAD & PAPER CO,199811,1998-11-13,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000005588-98-000008.txt,8412,75,191,-0.43609022392447283,19.56279069767442,3568,0.4241559676652401,114,86,7.994778666135864,0.00891583452211127,0.022705658582976698,0.01355206847360913,0.010223490252020923,1.302491939695229e-05
5588,AMERICAN PAD & PAPER CO,199811,1998-11-16,10-Q/A,https://www.sec.gov/Archives/edgar/data/5588/0000005588-98-000010.txt,411,2,2,0.0,68.5,128,0.31143552311435524,2,5,27.524574209245742,0.004866180048661801,0.004866180048661801,0.004866180048661801,0.012165450121654502,7.572627556367611e-07
5907,AT&T CORP,199908,1999-08-13,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-99-000027.txt,26911,239,437,-0.29289940785074053,21.007806401249024,10303,0.38285459477537065,314,185,8.556264398409757,0.008881126676823604,0.016238712794024748,0.01166809111515737,0.006874512281223291,2.801872195856016e-05
5907,AT&T CORP,199911,1999-11-15,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-99-000037.txt,27246,259,437,-0.25574712606932887,21.08823529411765,10753,0.39466343683476474,324,181,8.593159492380966,0.00950598252954562,0.01603905160390516,0.011891653820744329,0.006643176980107171,2.741291175405075e-05
5907,AT&T CORP,200003,2000-03-27,10-K,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000014.txt,52011,588,671,-0.06592533751713635,16.386578449905482,22204,0.4269096921805003,682,505,6.7253952568343935,0.011305300801753475,0.012901117071388744,0.013112610793870527,0.009709484532118206,7.648353831931287e-05
5907,AT&T CORP,200005,2000-05-15,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000025.txt,11253,112,166,-0.19424460361782517,19.81161971830986,4589,0.407802363814094,136,63,8.087768832849582,0.009952901448502622,0.014751621789744956,0.012085666044610326,0.005598507064782724,9.541510721023189e-06
5907,AT&T CORP,200008,2000-08-14,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000031.txt,18977,190,237,-0.11007025735346544,18.882587064676617,7845,0.4133951625652105,218,96,7.71839289089673,0.010012119934657743,0.012488802234283607,0.011487590240817832,0.005058755335406018,1.4539444908225811e-05
5907,AT&T CORP,200011,2000-11-14,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000038.txt,21786,207,314,-0.20537427983613382,18.494057724957557,9428,0.43275498026255393,282,112,7.570725082088045,0.009501514734232993,0.014412925732121546,0.012944092536491324,0.005140916184705775,1.696268572626345e-05
